,train,valid,test
59,0.8998157044019457,0.8564697354113809,0.8653711484593838
60,0.9142242693407381,0.865349764407394,0.8751750700280112
61,0.8791284548558181,0.8151504168176875,0.847514005602241
62,0.9168898263886027,0.8700616165277274,0.8790266106442577
63,0.910023373405953,0.8648060891627402,0.8398109243697479
64,0.9124170189157046,0.8631750634287786,0.8693977591036415
65,0.9061726665732829,0.8655309894889454,0.8562675070028012
66,0.9184155522413475,0.8740485683218557,0.8764005602240897
67,0.9178319037378223,0.8869155491119971,0.8865546218487395
68,0.914656855878645,0.864081188836535,0.883578431372549
69,0.9034974964912426,0.869155491119971,0.8634453781512605
70,0.9195498902740813,0.8769481696266763,0.8720238095238095
71,0.933282796239381,0.8919898513954332,0.892156862745098
72,0.9358851819198054,0.875498368974266,0.8795518207282914
73,0.9309427090628939,0.8660746647335992,0.8788515406162465
74,0.8933914509913784,0.8301920985864444,0.8536414565826331
75,0.9199934631367607,0.85773831098224,0.8613445378151261
76,0.8908755826185355,0.8566509604929322,0.8532913165266107
77,0.9143217729730918,0.8519391083725988,0.8760504201680672
78,0.9112153896437408,0.8278361725262776,0.8757002801120448
79,0.9374905586271488,0.8624501631025734,0.8692226890756303
80,0.9210769894174228,0.8571946357375861,0.866421568627451
81,0.9265880045812974,0.8374411018484959,0.8706232492997199
82,0.942725542381121,0.8785791953606379,0.886204481792717
83,0.9358934216633845,0.8657122145704966,0.8751750700280112
84,0.9268077310767423,0.8782167451975353,0.8632703081232492
85,0.9176932013875728,0.8876404494382022,0.8361344537815126
86,0.9358851819198054,0.882384922073215,0.8576680672268907
87,0.9186036930530722,0.8941645523740486,0.8762254901960784
88,0.9303068755167008,0.8655309894889454,0.8590686274509803
89,0.934489918673731,0.860275462123958,0.8427871148459385
90,0.9403744688798618,0.8814787966654585,0.8751750700280112
91,0.940745257340925,0.8707865168539326,0.8653711484593838
92,0.9420883355443311,0.8555636100036245,0.8795518207282913
93,0.9356297498688507,0.8704240666908301,0.8755252100840336
94,0.9351971633309439,0.8441464298658935,0.8823529411764706
95,0.9478602759215466,0.8669807901413557,0.8748249299719888
96,0.9527848960007033,0.8909025009061254,0.886204481792717
97,0.9346739396136658,0.8513954331279449,0.895483193277311
98,0.9272375710334562,0.8794853207683944,0.8452380952380952
99,0.9543367143747821,0.8905400507430229,0.8704481792717087
