
Dataset:bace, Split:random, Fewshot_True_100, Seed:0, Reg_feature_map_m1.0_h1.0, Best Epoch:37, Best Acc:0.79604
Dataset:bace, Split:random, Fewshot_True_100, Seed:0, Reg_feature_map_m1.0_h1.0, Best Epoch:66, Best Acc:0.78957
Dataset:bace, Split:size, Fewshot_True_100, Seed:1, Reg_feature_map_m1.0_h1.0, Best Epoch:51, Best Acc:0.58196
Dataset:bace, Split:scaffold, Fewshot_True_100, Seed:1, Reg_feature_map_m1.0_h1.0, Best Epoch:50, Best Acc:0.68249
Dataset:bace, Split:scaffold, Fewshot_True_100, Seed:1, Reg_feature_map_m1.0_h1.0, Best Epoch:7, Best Acc:0.59381
Dataset:bace, Split:random, Fewshot_True_100, Seed:1, Reg_feature_map_m1.0_h1.0, Best Epoch:99, Best Acc:0.78992
Dataset:bace, Split:random, Fewshot_True_100, Seed:1, Reg_feature_map_m1.0_h1.0, Best Epoch:44, Best Acc:0.79709
Dataset:bace, Split:size, Fewshot_True_100, Seed:2, Reg_feature_map_m1.0_h1.0, Best Epoch:51, Best Acc:0.59716
Dataset:bace, Split:size, Fewshot_True_100, All seed, Reg_feature_map_m1.0_h1.0, Best Acc:0.59670, std: 0.01185
Dataset:bace, Split:scaffold, Fewshot_True_100, Seed:2, Reg_feature_map_m1.0_h1.0, Best Epoch:7, Best Acc:0.59885
Dataset:bace, Split:scaffold, Fewshot_True_100, All seed, Reg_feature_map_m1.0_h1.0, Best Acc:0.65745, std: 0.04158
Dataset:bace, Split:random, Fewshot_True_100, Seed:2, Reg_feature_map_m1.0_h1.0, Best Epoch:99, Best Acc:0.78782
Dataset:bace, Split:random, Fewshot_True_100, All seed, Reg_feature_map_m1.0_h1.0, Best Acc:0.79126, std: 0.00349
Dataset:bace, Split:scaffold, Fewshot_True_100, Seed:2, Reg_feature_map_m1.0_h1.0, Best Epoch:7, Best Acc:0.59381
Dataset:bace, Split:scaffold, Fewshot_True_100, All seed, Reg_feature_map_m1.0_h1.0, Best Acc:0.62789, std: 0.04820
Dataset:bace, Split:random, Fewshot_True_100, Seed:2, Reg_feature_map_m1.0_h1.0, Best Epoch:99, Best Acc:0.79097
Dataset:bace, Split:random, Fewshot_True_100, All seed, Reg_feature_map_m1.0_h1.0, Best Acc:0.79254, std: 0.00327
Dataset:bace, Split:size, Fewshot_True_500, Seed:0, Reg_feature_map_m1.0_h1.0, Best Epoch:40, Best Acc:0.49186
Dataset:bace, Split:scaffold, Fewshot_True_500, Seed:0, Reg_feature_map_m1.0_h1.0, Best Epoch:72, Best Acc:0.73048
Dataset:bace, Split:random, Fewshot_True_500, Seed:0, Reg_feature_map_m1.0_h1.0, Best Epoch:84, Best Acc:0.80497
Dataset:bace, Split:scaffold, Fewshot_True_500, Seed:0, Reg_feature_map_m1.0_h1.0, Best Epoch:91, Best Acc:0.74648
Dataset:bace, Split:random, Fewshot_True_500, Seed:0, Reg_feature_map_m1.0_h1.0, Best Epoch:62, Best Acc:0.79289
Dataset:bace, Split:size, Fewshot_True_500, Seed:1, Reg_feature_map_m1.0_h1.0, Best Epoch:83, Best Acc:0.51284
Dataset:bace, Split:scaffold, Fewshot_True_500, Seed:1, Reg_feature_map_m1.0_h1.0, Best Epoch:72, Best Acc:0.74126
Dataset:bace, Split:random, Fewshot_True_500, Seed:1, Reg_feature_map_m1.0_h1.0, Best Epoch:76, Best Acc:0.79517
Dataset:bace, Split:scaffold, Fewshot_True_500, Seed:1, Reg_feature_map_m1.0_h1.0, Best Epoch:72, Best Acc:0.73744
Dataset:bace, Split:random, Fewshot_True_500, Seed:1, Reg_feature_map_m1.0_h1.0, Best Epoch:18, Best Acc:0.79814
Dataset:bace, Split:size, Fewshot_True_500, Seed:2, Reg_feature_map_m1.0_h1.0, Best Epoch:73, Best Acc:0.50235
Dataset:bace, Split:size, Fewshot_True_500, All seed, Reg_feature_map_m1.0_h1.0, Best Acc:0.50235, std: 0.00857
Dataset:bace, Split:scaffold, Fewshot_True_500, Seed:2, Reg_feature_map_m1.0_h1.0, Best Epoch:83, Best Acc:0.73031
Dataset:bace, Split:scaffold, Fewshot_True_500, All seed, Reg_feature_map_m1.0_h1.0, Best Acc:0.73402, std: 0.00512
Dataset:bace, Split:random, Fewshot_True_500, Seed:2, Reg_feature_map_m1.0_h1.0, Best Epoch:62, Best Acc:0.78869
Dataset:bace, Split:random, Fewshot_True_500, All seed, Reg_feature_map_m1.0_h1.0, Best Acc:0.79628, std: 0.00669
Dataset:bace, Split:scaffold, Fewshot_True_500, Seed:2, Reg_feature_map_m1.0_h1.0, Best Epoch:91, Best Acc:0.73013
Dataset:bace, Split:scaffold, Fewshot_True_500, All seed, Reg_feature_map_m1.0_h1.0, Best Acc:0.73802, std: 0.00669
Dataset:bace, Split:random, Fewshot_True_500, Seed:2, Reg_feature_map_m1.0_h1.0, Best Epoch:18, Best Acc:0.79744
Dataset:bace, Split:random, Fewshot_True_500, All seed, Reg_feature_map_m1.0_h1.0, Best Acc:0.79616, std: 0.00233
Dataset:bace, Split:size, Fewshot_False_50, Seed:0, Reg_feature_map_m1.0_h1.0, Best Epoch:80, Best Acc:0.51078
Dataset:bace, Split:scaffold, Fewshot_False_50, Seed:0, Reg_feature_map_m1.0_h1.0, Best Epoch:59, Best Acc:0.69692
Dataset:bace, Split:random, Fewshot_False_50, Seed:0, Reg_feature_map_m1.0_h1.0, Best Epoch:11, Best Acc:0.81268
Dataset:bace, Split:scaffold, Fewshot_False_50, Seed:0, Reg_feature_map_m1.0_h1.0, Best Epoch:33, Best Acc:0.69171
Dataset:bace, Split:random, Fewshot_False_50, Seed:0, Reg_feature_map_m1.0_h1.0, Best Epoch:34, Best Acc:0.81232
Dataset:bace, Split:size, Fewshot_False_50, Seed:1, Reg_feature_map_m1.0_h1.0, Best Epoch:49, Best Acc:0.49000
Dataset:bace, Split:scaffold, Fewshot_False_50, Seed:1, Reg_feature_map_m1.0_h1.0, Best Epoch:96, Best Acc:0.71901
Dataset:bace, Split:random, Fewshot_False_50, Seed:1, Reg_feature_map_m1.0_h1.0, Best Epoch:63, Best Acc:0.82160
Dataset:bace, Split:random, Fewshot_False_50, Seed:1, Reg_feature_map_m1.0_h1.0, Best Epoch:63, Best Acc:0.81250
Dataset:bace, Split:scaffold, Fewshot_False_50, Seed:1, Reg_feature_map_m1.0_h1.0, Best Epoch:96, Best Acc:0.71483
Dataset:bace, Split:size, Fewshot_False_50, Seed:2, Reg_feature_map_m1.0_h1.0, Best Epoch:34, Best Acc:0.52039
Dataset:bace, Split:size, Fewshot_False_50, All seed, Reg_feature_map_m1.0_h1.0, Best Acc:0.50706, std: 0.01268
Dataset:bace, Split:scaffold, Fewshot_False_50, Seed:2, Reg_feature_map_m1.0_h1.0, Best Epoch:9, Best Acc:0.71466
Dataset:bace, Split:scaffold, Fewshot_False_50, All seed, Reg_feature_map_m1.0_h1.0, Best Acc:0.71020, std: 0.00955
Dataset:bace, Split:size, Fewshot_True_50, Seed:0, Reg_feature_map_m0.1_h0.1, Best Epoch:49, Best Acc:0.57382
Dataset:bace, Split:scaffold, Fewshot_True_50, Seed:0, Reg_feature_map_m0.1_h0.1, Best Epoch:15, Best Acc:0.66684
Dataset:bace, Split:random, Fewshot_False_50, Seed:2, Reg_feature_map_m1.0_h1.0, Best Epoch:63, Best Acc:0.81268
Dataset:bace, Split:random, Fewshot_False_50, All seed, Reg_feature_map_m1.0_h1.0, Best Acc:0.81250, std: 0.00014
Dataset:bace, Split:random, Fewshot_False_50, Seed:2, Reg_feature_map_m1.0_h1.0, Best Epoch:63, Best Acc:0.82195
Dataset:bace, Split:random, Fewshot_False_50, All seed, Reg_feature_map_m1.0_h1.0, Best Acc:0.81874, std: 0.00429
Dataset:bace, Split:size, Fewshot_True_50, Seed:1, Reg_feature_map_m0.1_h0.1, Best Epoch:72, Best Acc:0.58167
Dataset:bace, Split:scaffold, Fewshot_True_50, Seed:1, Reg_feature_map_m0.1_h0.1, Best Epoch:15, Best Acc:0.66667
Dataset:bace, Split:random, Fewshot_True_50, Seed:0, Reg_feature_map_m0.1_h0.1, Best Epoch:78, Best Acc:0.81215
Dataset:bace, Split:random, Fewshot_True_50, Seed:0, Reg_feature_map_m0.1_h0.1, Best Epoch:78, Best Acc:0.80987
Dataset:bace, Split:size, Fewshot_True_50, Seed:2, Reg_feature_map_m0.1_h0.1, Best Epoch:72, Best Acc:0.59794
Dataset:bace, Split:size, Fewshot_True_50, All seed, Reg_feature_map_m0.1_h0.1, Best Acc:0.58448, std: 0.01004
Dataset:bace, Split:scaffold, Fewshot_False_50, Seed:2, Reg_feature_map_m1.0_h1.0, Best Epoch:33, Best Acc:0.68858
Dataset:bace, Split:scaffold, Fewshot_False_50, All seed, Reg_feature_map_m1.0_h1.0, Best Acc:0.69837, std: 0.01171
Dataset:bace, Split:scaffold, Fewshot_True_50, Seed:2, Reg_feature_map_m0.1_h0.1, Best Epoch:15, Best Acc:0.66667
